candidate_id,avg_interview_score,min_question_score,max_question_score,score_std_dev,questions_answered
  CAND_001,0.3931,0.3385,0.435,0.0387,7
  CAND_002,0.4227,0.2724,0.6175,0.1318,7
  CAND_003,0.3937,0.2927,0.6195,0.1164,7
  CAND_004,0.4315,0.2979,0.5671,0.1019,7
  CAND_005,0.3782,0.1611,0.5793,0.1379,7
C93,0.3151,0.1788,0.4766,0.1109,5
CANC_060,0.2629,0.1754,0.3988,0.1193,3
CANC_078,0.3137,0.2829,0.3444,0.0435,2
CAND_006,0.4877,0.4253,0.557,0.0572,7
CAND_007,0.4199,0.0723,0.615,0.1836,7
CAND_008,0.3599,0.2069,0.4836,0.0989,7
CAND_009,0.4022,0.2589,0.564,0.1148,7
CAND_010,0.4061,0.2769,0.4885,0.0884,7
CAND_011,0.3947,0.2667,0.5553,0.1093,7
CAND_012,0.3976,0.2843,0.489,0.0832,7
CAND_013,0.3724,0.24,0.4539,0.0754,7
CAND_014,0.362,0.0078,0.4782,0.1677,7
CAND_015,0.3572,0.2658,0.4982,0.0822,7
CAND_016,0.3991,0.351,0.5242,0.0644,7
CAND_017,0.389,0.2071,0.5947,0.1179,7
CAND_018,0.3678,0.1236,0.5097,0.1334,7
CAND_019,0.3145,0.134,0.5224,0.1382,7
CAND_020,0.3538,0.2685,0.4231,0.0628,7
CAND_021,0.363,0.231,0.5349,0.104,7
CAND_022,0.3251,0.0923,0.5121,0.1497,7
CAND_023,0.3569,0.2552,0.4427,0.0653,7
CAND_024,0.4049,0.2224,0.5846,0.1242,7
CAND_025,0.3614,0.2602,0.4656,0.0686,7
CAND_026,0.4321,0.1868,0.5487,0.1292,6
CAND_027,0.2752,0.0579,0.4217,0.1312,7
CAND_028,0.3458,0.2672,0.4655,0.0803,7
CAND_029,0.2694,0.0833,0.4633,0.1106,7
CAND_030,0.4177,0.2359,0.5191,0.1017,7
CAND_031,0.3937,0.2364,0.6319,0.1313,7
CAND_032,0.3312,0.1846,0.4693,0.1012,7
CAND_033,0.3682,0.0669,0.5053,0.1504,7
